Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__A-17.png,M06__A-17_1_6287,,Tissue,Polygon,4809.1,2619.2,0.9156,545.0844,84.0377,0.9699,1,29.8258,23.7751,0.1421,0.1328,-0.0019,0.4997,0.0786,0.1782,0.1686,0.0541,0.6,0.0672,5,35.9958,34.119,40.9528,31.3251,482.4222,690.8845,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.9975216,Tumor
M06__A-17.png,M06__A-17_1_8528,,Tissue,Polygon,288.16,2005.8,0.9082,644.2421,91.1102,0.9753,1,31.7899,26.3272,0.155,0.1399,0.0012,0.6362,0.0982,0.19,0.1662,0.0274,0.8384,0.1171,5,38.6341,37.0804,62.0385,21.3273,558.792,905.5724,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.9986607,Tumor
M06__A-17.png,M06__A-17_1_11886,,Tissue,Polygon,4336.9,1343.2,0.9036,365.4124,75.6585,0.8022,0.9802,29.7514,16.5614,0.3321,0.3148,0.0351,0.5919,0.1135,0.8097,0.657,0.3489,1.8607,0.3926,8,52.4166,48.8755,68.8983,26.7782,838.0414,1286.2279,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.6294492,Others
M06__A-17.png,M06__A-17_1_8792,,Tissue,Polygon,4151.7,4627.6,0.903,875.1313,105.8659,0.9812,1,35.9998,31.5352,0.2454,0.2377,0.0268,0.5361,0.0827,0.2599,0.2479,0.046,0.5858,0.0762,4,44.3999,43.9694,52.3516,37.3093,846.8035,939.8901,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.99999547,Tumor
M06__A-17.png,M06__A-17_1_9147,,Tissue,Polygon,2300.4,4063,0.8995,713.774,99.7014,0.9023,0.9967,35.6963,28.3055,0.2422,0.2241,-0.0145,0.7342,0.1131,0.333,0.2945,0.0762,1.7543,0.1759,6,59.9818,60.9685,91.0125,27.2664,1107.787,1265.6383,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.9999994,Tumor
M06__A-17.png,M06__A-17_1_4763,,Tissue,Polygon,723.18,2987.3,0.8961,447.9494,76.653,0.958,1,27.5648,21.4695,0.4617,0.4854,0.024,0.7604,0.1291,0.7442,0.6636,0.1038,1.8244,0.3672,7,47.6496,45.9047,62.9495,35.9839,803.0026,1382.9097,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.6330533,Others
M06__A-17.png,M06__A-17_1_11948,,Tissue,Polygon,1959.5,3016.1,0.8961,299.2538,62.3861,0.9662,1,21.5692,18.1206,0.4302,0.446,0.0795,0.7492,0.1244,0.8241,0.7411,0.2573,1.8738,0.3479,7,52.5643,49.2133,72.0331,33.4133,943.2581,1583.9287,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.38018343,Others
M06__A-17.png,M06__A-17_1_9089,,Tissue,Polygon,4553.1,2234.7,0.8957,492.6669,79.4042,0.9819,1,26.9399,23.6291,0.1205,0.1059,-0.02,0.5179,0.0753,0.1976,0.1908,0.0463,0.5143,0.0574,5,69.1851,49.871,103.5912,43.3347,1916.8502,2261.9722,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.73709404,Others
M06__A-17.png,M06__A-17_1_521,,Tissue,Polygon,3799.3,2932.1,0.8955,280.8877,60.2294,0.973,1,20.1958,17.8434,0.4951,0.5112,0.0149,0.7895,0.1502,1.0673,0.9567,0.1897,2.121,0.4598,4,39.49,40.6648,42.7374,33.8931,744.4279,875.9178,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.39034337,Others
M06__A-17.png,M06__A-17_1_4946,,Tissue,Polygon,3354.6,1175.7,0.8953,641.3336,91.1759,0.9695,1,31.4984,25.7152,0.1618,0.1396,-0.0149,0.5803,0.0896,0.1677,0.1552,0.0357,0.5731,0.0847,7,103.8702,97.371,187.979,36.7363,3031.7742,5950.5474,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.99634606,Tumor
M06__A-17.png,M06__A-17_1_6649,,Tissue,Polygon,4016.6,1958.2,0.8947,235.2889,55.5428,0.9584,1,19.2707,15.4332,0.7585,0.8113,0.101,1.3993,0.2624,1.1012,1.1719,0.0039,1.801,0.473,6,47.023,42.2101,64.0768,36.3152,889.6906,1012.0189,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.80223095,Lymphocyte
M06__A-17.png,M06__A-17_1_14173,,Tissue,Polygon,3787.3,3959.2,0.894,391.1643,71.8043,0.9534,1,25.2357,20.1125,0.4238,0.4154,0.0358,0.905,0.1473,0.6721,0.611,0.0483,1.7717,0.3601,6,59.225,66.3518,74.7018,36.9561,1408.1984,2392.6404,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.5277518,Others
M06__A-17.png,M06__A-17_1_8774,,Tissue,Polygon,5596.5,3410.3,0.8937,291.9229,62.6103,0.9358,1,22.7846,16.4949,0.3046,0.2998,0.078,0.7076,0.0922,0.5155,0.5048,0.1029,1.3051,0.1657,6,37.1883,38.14,50.8412,19.6587,546.8662,854.7031,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.4753153,Others
M06__A-17.png,M06__A-17_1_12382,,Tissue,Polygon,430.27,2553.6,0.8935,412.2368,75.3051,0.9135,1,28.7424,19.579,0.3707,0.3509,0.0154,0.8194,0.1553,0.598,0.5137,0.1583,1.8161,0.3425,6,58.2615,62.0146,81.8877,33.2033,1372.7385,2810.4944,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.5621038,Others
M06__A-17.png,M06__A-17_1_15740,,Tissue,Polygon,4876,1603.1,0.8934,618.3776,89.4188,0.9719,1,30.1468,27.9165,0.1878,0.1856,-0.0151,0.5201,0.0797,0.3153,0.2961,0.1186,0.9466,0.1025,5,40.2179,37.1871,59.6297,29.5344,666.3455,1130.3636,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.96100676,Tumor
M06__A-17.png,M06__A-17_1_14956,,Tissue,Polygon,6036.3,3891.5,0.8926,367.3064,69.9229,0.9441,1,25.7411,18.5417,0.2285,0.2244,0.0274,0.3891,0.0555,0.2332,0.2291,0.0612,0.5044,0.0716,8,52.4436,52.469,85.0161,24.8931,867.5186,1483.9369,0.647,219.6074,53.1469,0.8333,0.9761,20.2145,12.5845,0.2455,0.2347,0.0312,0.5688,0.1099,0.5107,0.4534,0.1675,1.3218,0.2405,5.9943,45.6577,43.6426,73.7881,22.7783,925.7565,2151.8257,15770,0.60683113,Others
